PDB ID, Region within RBD, Delphi Electrostatic Potential
2dd8,region_1,-70.1911148022218
2dd8,region_2,39.0681912888814
2dd8,region_3,78.7505594456147
2dd8,region_4,95.70349637120809
2dd8,region_5,70.87924143111984
2dd8,region_6,-76.44971315362164
2dd8,region_7,0
2dd8,region_8,93.51659821821428
2dd8,region_9,-55.84554746679434
2dd8,region_10,-121.0908881961484
2dd8,region_11,-55.05637447925392
2dd8,region_12,-1.0836144136456252
2dd8,region_13,75.81059747003823
2dd8,region_14,131.83318110562263
2dd8,region_15,69.7294855676766
2dd8,region_16,31.898551121326612
2dd8,region_17,22.288215517962726
2dd8,region_18,-3.203085163355062
2dd8,region_19,-13.742084014800778
2ghw,region_1,-106.78550709307862
2ghw,region_2,19.609687675463675
2ghw,region_3,-1.795815138732749
2ghw,region_4,-39.132424662052024
2ghw,region_5,44.01706172943557
2ghw,region_6,-105.50653982703722
2ghw,region_7,0
2ghw,region_8,-42.881587145515596
2ghw,region_9,11.830961171361874
2ghw,region_10,-111.97346248384372
2ghw,region_11,96.15814016060108
2ghw,region_12,-61.25616608723112
2ghw,region_13,64.85393740841144
2ghw,region_14,-3.5094897605057227
2ghw,region_15,-7.3479294893265195
2ghw,region_16,-30.154393888310064
2ghw,region_17,3.0180890195011747
2ghw,region_18,5.173115300931386
4f2m,region_1,-104.91352801892208
4f2m,region_2,40.58125294432193
4f2m,region_3,132.35456367357537
4xak,region_1,-170.18782498972553
4xak,region_2,8.00264515132542
4xak,region_3,-10.362026216911143
4xak,region_4,32.48933126784374
4xak,region_5,-83.01762170800725
4xak,region_6,0
4xak,region_7,0
4xak,region_8,22.325004610502315
4xak,region_9,-15.002110284851367
4xak,region_10,24.087359586699737
4xak,region_11,27.697744030567655
4xak,region_12,2.5979254930661497
4xak,region_13,-87.05222744939147
4xak,region_14,-130.71681608938252
4xak,region_15,-51.10400149533026
4zpt,region_1,-116.596861341595
4zpt,region_2,39.72895772817003
4zpt,region_3,-109.29668332105734
4zpt,region_4,54.02244838858374
4zpt,region_5,-47.79552705216023
4zpt,region_6,0
4zpt,region_7,0
4zpt,region_8,12.374975388587377
4zpt,region_9,-6.5114334976139805
4zpt,region_10,39.36538267739709
4zpt,region_11,59.12981774458011
4zpt,region_12,23.294556397910412
4zpt,region_13,-70.7299163485565
4zpt,region_14,-43.7119756753265
4zpt,region_15,13.113535309073836
4zs6,region_1,-120.99790316766217
4zs6,region_2,46.90823003165226
4zs6,region_3,-41.64017414637698
4zs6,region_4,9.623043773115846
4zs6,region_5,-35.17164555604059
4zs6,region_6,0
4zs6,region_7,0
4zs6,region_8,-31.94955462696572
4zs6,region_9,77.09031217105115
4zs6,region_10,57.57604426240719
4zs6,region_11,-42.23854459507627
4zs6,region_12,26.309046292046187
4zs6,region_13,-94.92025912746875
4zs6,region_14,-87.14019936756422
4zs6,region_15,-74.82538288168206
5do2,region_1,-169.91368505521032
5do2,region_2,-9.816235378546107
5do2,region_3,-2.6717248163594056
5do2,region_4,66.7803701183605
